City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
256,prince rupert,54.3161,-130.3201,3.83,86,100,12.86,CA,1681387029
257,pemba,-12.974,40.5178,27.72,73,78,4.69,MZ,1681387029
258,borujerd,33.8973,48.7516,14.05,44,40,15.95,IR,1681387029
259,havre,49.5833,0.3333,12.41,66,20,6.17,FR,1681387030
260,mapiri,-15.25,-68.1667,21.48,98,100,0.16,BO,1681387030
261,xining,36.6167,101.7667,6.32,62,100,9.73,CN,1681387030
262,saskylakh,71.9167,114.0833,-21.94,93,13,2.88,RU,1681387030
263,yar-sale,66.8333,70.8333,-16.71,86,44,9.46,RU,1681387030
264,el sauzal,31.9,-116.6833,11.34,84,99,4.37,MX,1681387031
265,turukhansk,65.8167,87.9833,-16.7,80,100,1.14,RU,1681387031
266,aykhal,66.0,111.5,-14.9,91,95,3.97,RU,1681387031
267,aran,40.6253,46.9756,18.75,52,75,10.29,AZ,1681387031
268,namibe,-15.1961,12.1522,27.75,60,29,3.97,AO,1681387031
269,hutchinson,38.0608,-97.9298,12.55,74,0,5.14,US,1681387028
270,paamiut,61.994,-49.6678,0.81,64,100,1.29,GL,1681387032
271,pine bluff,34.2284,-92.0032,15.96,85,20,0.0,US,1681387015
272,saint-philippe,-21.3585,55.7679,29.77,79,31,0.47,RE,1681387032
273,tosya,41.0155,34.0401,11.42,50,71,5.8,TR,1681387032
274,vao,-22.6667,167.4833,25.37,77,100,2.93,NC,1681387033
275,honiara,-9.4333,159.95,25.87,88,94,0.81,SB,1681387033
276,namatanai,-3.6667,152.4333,27.35,78,99,5.96,PG,1681387033
277,sobolevo,54.4299,31.8996,14.7,43,100,5.23,RU,1681387034
278,akdepe,42.0551,59.3788,38.05,9,98,7.37,TM,1681387034
279,sur,22.5667,59.5289,30.19,48,37,2.78,OM,1681386486
280,kabanjahe,3.1001,98.4908,18.71,95,99,0.66,ID,1681387034
281,zyryanka,65.75,150.85,-19.67,100,46,2.13,RU,1681387034
282,alofi,-19.0595,-169.9187,25.94,83,100,5.14,NU,1681387034
283,vadso,70.0744,29.7487,2.09,55,0,7.72,NO,1681386934
284,belaya gora,68.5333,146.4167,-21.19,100,32,1.21,RU,1681387035
285,codrington,-38.2667,141.9667,14.05,88,1,4.51,AU,1681387035
286,kushiro,42.975,144.3747,7.53,45,20,3.09,JP,1681387035
287,bure,10.7,37.0667,25.04,32,97,2.34,ET,1681387035
288,margate,51.3813,1.3862,13.16,50,38,0.89,GB,1681387036
289,marovoay,-16.1,46.6333,31.43,56,20,1.28,MG,1681387036
290,eureka,40.8021,-124.1637,3.71,93,11,2.34,US,1681387036
291,kikugawa,34.7563,138.0874,14.66,72,40,2.06,JP,1681387036
292,beringovskiy,63.05,179.3167,-20.01,98,100,3.06,RU,1681387037
293,mandalgovi,45.7625,106.2708,-2.61,42,3,9.49,MN,1681387037
294,zhigansk,66.7697,123.3711,-7.42,95,100,2.79,RU,1681387037
295,catamarca,-28.4696,-65.7852,16.99,99,100,0.45,AR,1681386638
296,cabo san lucas,22.8909,-109.9124,20.84,50,99,0.45,MX,1681387015
297,kodiak,57.79,-152.4072,2.73,65,100,0.0,US,1681387037
298,cartagena,10.3997,-75.5144,25.79,89,0,1.54,CO,1681386499
299,sao filipe,14.8961,-24.4956,23.21,75,51,2.47,CV,1681387038
300,ikalamavony,-21.15,46.5833,27.48,47,96,2.01,MG,1681387038
301,yarada,17.65,83.2667,31.21,58,0,6.2,IN,1681387038
302,sabang,5.8933,95.3214,28.69,72,42,3.62,ID,1681387038
303,kenora,49.8167,-94.4337,3.54,75,75,4.12,CA,1681387038
304,sarahan,31.5167,77.8,17.47,42,18,2.67,IN,1681387039
305,broken hill,-31.95,141.4333,14.8,67,0,3.63,AU,1681387039
306,sorong,-0.8833,131.25,28.18,78,87,4.37,ID,1681387039
307,casa nova,-9.4167,-41.1333,27.43,54,88,6.77,BR,1681387039
308,the valley,18.217,-63.0578,26.57,83,40,4.12,AI,1681387039
309,maykor,59.0059,55.88,0.78,63,97,5.5,RU,1681387039
310,west wendover,40.7391,-114.0733,3.56,45,100,12.86,US,1681387040
311,tepoztlan,18.9833,-99.1,17.93,60,57,1.01,MX,1681387040
312,yeppoon,-23.1333,150.7333,22.88,50,1,3.07,AU,1681387040
313,wanaka,-44.7,169.15,10.79,94,99,1.72,NZ,1681387040
314,huntingdon,52.3305,-0.1865,13.93,55,38,4.92,GB,1681387040
315,kamina,-8.7386,24.9906,25.96,66,49,2.33,CD,1681387041
316,hay river,60.8156,-115.7999,-9.01,92,100,4.12,CA,1681387041
317,esperance,-33.8667,121.9,21.29,55,68,6.2,AU,1681387041
318,chichester,50.8367,-0.78,12.81,58,33,1.79,GB,1681386768
319,ayan,56.45,138.1667,-7.73,84,77,4.62,RU,1681387042
320,kodinsk,58.6881,99.1844,0.91,66,100,5.96,RU,1681387042
321,alappuzha,9.49,76.3264,28.89,70,15,4.89,IN,1681387042
322,umm lajj,25.0213,37.2685,23.15,46,0,9.29,SA,1681387042
323,aras,42.5617,-2.356,11.23,41,40,8.23,ES,1681387043
324,bulawayo,-20.15,28.5833,29.97,15,3,2.06,ZW,1681387043
325,chara,56.9064,118.2631,-7.08,85,94,1.05,RU,1681387043
326,magdagachi,53.45,125.8,-3.41,94,100,1.63,RU,1681387043
327,manokwari,-0.8667,134.0833,26.81,78,39,0.67,ID,1681387044
328,fauske,67.2588,15.3918,10.02,69,18,4.03,NO,1681386872
329,kuliyapitiya,7.4688,80.0401,30.82,70,37,2.81,LK,1681387044
330,mahajanga,-15.7167,46.3167,34.01,59,40,2.06,MG,1681387044
331,havre-saint-pierre,50.2334,-63.5986,3.0,87,20,3.09,CA,1681387044
332,saint-pierre,-21.3393,55.4781,29.82,70,40,7.72,RE,1681387045
333,lamu,-2.2717,40.902,32.12,61,100,5.25,KE,1681387045
334,castro,-24.7911,-50.0119,20.53,76,0,1.93,BR,1681387045
335,grand gaube,-20.0064,57.6608,29.65,70,12,2.24,MU,1681387046
336,mehamn,71.0357,27.8492,1.97,69,0,9.77,NO,1681387046
337,ajdabiya,30.7554,20.2263,25.51,17,0,4.05,LY,1681386904
338,agadez,19.75,10.25,29.86,7,94,3.24,NE,1681387046
339,meulaboh,4.1363,96.1285,27.4,78,97,1.75,ID,1681387047
340,saint-joseph,-21.3667,55.6167,29.21,80,27,0.95,RE,1681387047
341,pathein,16.7833,94.7333,29.14,57,44,4.87,MM,1681387047
342,mangrol,21.1167,70.1167,30.01,52,99,7.92,IN,1681387047
343,soligalich,59.0778,42.2864,4.8,45,78,5.26,RU,1681386965
344,olga,43.7444,135.2892,5.65,49,0,0.94,RU,1681387047
345,gawler,-34.6,138.7333,16.23,80,0,2.32,AU,1681386976
346,urla,38.3229,26.764,20.22,41,1,2.64,TR,1681386850
347,kisii,-0.6817,34.7667,17.13,93,98,1.32,KE,1681387048
348,rocha,-34.4833,-54.3333,16.14,52,90,5.45,UY,1681386720
349,naze,28.3667,129.4833,19.51,89,35,6.17,JP,1681387048
350,roblin,51.23,-101.3565,-0.42,91,83,1.59,CA,1681387049
351,bengkulu,-3.8004,102.2655,26.91,79,83,0.56,ID,1681387049
352,huilong,31.8111,121.655,14.96,90,100,6.75,CN,1681387049
353,khani,41.9563,42.9566,5.76,97,100,2.7,GE,1681387049
354,fuerte olimpo,-21.0415,-57.8738,24.92,87,2,2.82,PY,1681387050
355,winston-salem,36.0999,-80.2442,12.17,68,0,1.54,US,1681386766
356,usinsk,65.9939,57.5281,-11.12,68,6,5.24,RU,1681387050
357,robertsport,6.7533,-11.3686,28.16,78,43,4.66,LR,1681387050
358,malanville,11.8685,3.3899,40.54,13,28,3.88,BJ,1681387050
359,encantado,-29.2361,-51.8697,21.45,95,90,2.0,BR,1681387025
360,jiaocheng,24.6774,116.1389,23.45,83,79,0.98,CN,1681387051
